year,reporter,reporter_code,partner,partner_code,flow,flow_code,hs_code,commodity,trade_value_usd,net_weight_kg
2019,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",5843089.0,2471.289
2019,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,1981176.0,165.093
2019,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,59712863.0,6642.681
2019,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",330937109.0,168887.44
2019,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,114045484.0,8455.003
2019,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,8889246.0,8065.0
2020,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",14768035.0,2412.066
2020,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,1110066.0,160.025
2020,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,51004125.0,6677.682
2020,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",258963856.0,234185.278
2020,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,185103418.0,8999.007
2020,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,113522807.0,41638.903
2021,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",19322538.0,3936.579
2021,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,1410684.0,121.003
2021,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,64163208.0,7182.945
2021,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",328018602.0,229032.063
2021,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,268716587.0,10996.002
2021,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,156317758.0,45672.0
2022,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",18097790.0,3230.0
2022,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,2299138.0,171.006
2022,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,60449409.0,6608.0
2022,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",446712696.0,351729.341
2022,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,233370117.0,12284.051
2022,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,260457560.0,64892.516
2023,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",17803913.0,2898.013
2023,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,1330573.0,70.26
2023,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,50407013.0,7558.0
2023,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",380180289.0,226666.535
2023,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,142827196.0,7816.095
2023,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,327954032.0,57378.0
2024,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",14613376.0,3638.22
2024,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,3226807.0,243.961
2024,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,43143778.0,7110.445
2024,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",320047349.0,183851.195
2024,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,101655234.0,6259.537
2024,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,290600004.0,55483.509
2018,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2461656365.0,298160.0
2018,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,2309880583.0,129591.0
2018,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1590201094.0,233072.0
2018,China,156,Singapore,702,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1864117823.0,1455788.0
2018,China,156,Singapore,702,Export,X,854232,Electronic integrated circuits; memories,1223725076.0,522476.41
2018,China,156,Singapore,702,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,543683537.0,659276.0
2019,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2547893915.0,225114.0
2019,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,2728496132.0,136402.0
2019,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1435589396.0,198399.0
2019,China,156,Singapore,702,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1567435750.0,980116.0
2019,China,156,Singapore,702,Export,X,854232,Electronic integrated circuits; memories,1427747090.0,394218.0
2019,China,156,Singapore,702,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,596301190.0,565492.0
2020,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2715163367.0,212045.0
2020,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,2189873150.0,90298.0
2020,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1474384189.0,179051.0
2020,China,156,Singapore,702,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1693891264.0,856141.0
2020,China,156,Singapore,702,Export,X,854232,Electronic integrated circuits; memories,1740291362.0,408738.709
2020,China,156,Singapore,702,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1247340320.0,852231.0
2021,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2850141270.0,232399.0
2021,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,2886662711.0,95824.0
2021,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1357614372.0,178741.0
2021,China,156,Singapore,702,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1752531247.0,862719.0
2021,China,156,Singapore,702,Export,X,854232,Electronic integrated circuits; memories,1695493185.0,412663.001
2021,China,156,Singapore,702,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1532333983.0,891374.0
2022,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",3048559002.0,248092.0
2022,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,2206114294.0,113112.0
2022,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1609557763.0,182225.0
2022,China,156,Singapore,702,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2337113951.0,985787.256
2022,China,156,Singapore,702,Export,X,854232,Electronic integrated circuits; memories,1650191502.0,300473.213
2022,China,156,Singapore,702,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1557702562.0,1048108.91
2023,China,156,Singapore,702,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2441495158.0,170135.581
2023,China,156,Singapore,702,Import,M,854232,Electronic integrated circuits; memories,1755204668.0,108031.0
2023,China,156,Singapore,702,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1204410219.0,98672.0
